building_key,base_unit_token,record_count,condo_count,parking_count,storage_count,other_count,unit_tokens,addresses
3000 SOMERVALE CO SW,121,1,0,1,0,0,121V,121V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,122,1,0,1,0,0,122V,122V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,123,1,0,1,0,0,123V,123V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,124,1,0,1,0,0,124V,124V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,125,1,0,1,0,0,125V,125V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,126,1,0,1,0,0,126V,126V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,127,1,0,1,0,0,127V,127V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,128,1,0,1,0,0,128V,128V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,129,1,0,1,0,0,129V,129V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,130,1,0,1,0,0,130V,130V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,131,1,0,1,0,0,131V,131V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,132,1,0,1,0,0,132V,132V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,133,1,0,1,0,0,133V,133V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,134,1,0,1,0,0,134V,134V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,135,1,0,1,0,0,135V,135V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,136,1,0,1,0,0,136V,136V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,137,1,0,1,0,0,137V,137V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,138,1,0,1,0,0,138V,138V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,139,1,0,1,0,0,139V,139V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,140,1,0,1,0,0,140V,140V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,141,1,0,1,0,0,141V,141V 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,142,1,0,0,1,0,142S,142S 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,143,1,0,0,1,0,143S,143S 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,144,1,0,0,1,0,144S,144S 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,145,1,0,0,1,0,145S,145S 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,146,1,0,0,1,0,146S,146S 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,147,1,0,0,1,0,147S,147S 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,148,1,0,0,1,0,148S,148S 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,149,1,0,0,1,0,149S,149S 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,150,1,0,0,1,0,150S,150S 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,151,1,0,0,1,0,151S,151S 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,152,1,0,0,1,0,152S,152S 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,153,1,0,0,1,0,153S,153S 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,154,1,0,0,1,0,154S,154S 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,155,1,0,0,1,0,155S,155S 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,156,1,0,0,1,0,156S,156S 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,157,1,0,0,1,0,157S,157S 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,158,1,0,0,1,0,158S,158S 3000 SOMERVALE CO SW
3000 SOMERVALE CO SW,159,1,0,0,1,0,159S,159S 3000 SOMERVALE CO SW
