group_rank,plan_signature,row_count,same_floor_plan_count,similar_floor_plan_count,other_count,buildings,units,assessed_value_min,assessed_value_max,value_delta_pct_min,value_delta_pct_max
11,stack:09|sub_property_use:R201|land_use:M-C2|assessed_bucket:275000,1,1,0,0,4000 Somervale Court SW,409,274000,274000,0.0418,0.0418
12,stack:09|sub_property_use:R201|land_use:M-C2|assessed_bucket:287500,1,1,0,0,6000 Somervale Court SW,409,288500,288500,0.0970,0.0970
13,stack:09|sub_property_use:R201|land_use:M-C2|assessed_bucket:290000,1,1,0,0,5500 Somervale Court SW,109,290000,290000,0.1027,0.1027
14,stack:09|sub_property_use:R201|land_use:M-C2|assessed_bucket:295000,1,1,0,0,5500 Somervale Court SW,209,295000,295000,0.1217,0.1217
15,stack:09|sub_property_use:R201|land_use:M-C2|assessed_bucket:300000,1,1,0,0,5500 Somervale Court SW,309,300000,300000,0.1407,0.1407
16,stack:09|sub_property_use:R201|land_use:M-C2|assessed_bucket:307500,1,1,0,0,5500 Somervale Court SW,409,307500,307500,0.1692,0.1692
17,stack:01|sub_property_use:R201|land_use:M-C2|assessed_bucket:290000,5,0,5,0,2000 Somervale Court SW; 3000 Somervale Court SW; 4000 Somervale Court SW; 5500 Somervale Court SW; 6000 Somervale Court SW,101; 401,290000,291000,0.1027,0.1065
18,stack:03|sub_property_use:R201|land_use:M-C2|assessed_bucket:272500,5,0,5,0,1000 Somervale Court SW; 2000 Somervale Court SW; 3000 Somervale Court SW,103; 303,271500,273000,0.0323,0.0380
19,stack:04|sub_property_use:R201|land_use:M-C2|assessed_bucket:260000,5,0,5,0,1000 Somervale Court SW; 2000 Somervale Court SW; 4000 Somervale Court SW; 5500 Somervale Court SW; 6000 Somervale Court SW,104,261000,261000,-0.0076,-0.0076
20,stack:05|sub_property_use:R201|land_use:M-C2|assessed_bucket:275000,5,0,5,0,1000 Somervale Court SW; 2000 Somervale Court SW; 3000 Somervale Court SW; 4000 Somervale Court SW; 6000 Somervale Court SW,305; 405,274000,274000,0.0418,0.0418
21,stack:10|sub_property_use:R201|land_use:M-C2|assessed_bucket:237500,5,0,5,0,1000 Somervale Court SW; 2000 Somervale Court SW; 3000 Somervale Court SW; 4000 Somervale Court SW; 6000 Somervale Court SW,110; 410,236500,238500,-0.1008,-0.0932
22,stack:18|sub_property_use:R201|land_use:M-C2|assessed_bucket:285000,5,0,5,0,1000 Somervale Court SW; 2000 Somervale Court SW; 3000 Somervale Court SW; 5000 Somervale Court SW; 6000 Somervale Court SW,318,284000,286000,0.0798,0.0875
23,stack:19|sub_property_use:R201|land_use:M-C2|assessed_bucket:290000,5,0,5,0,1000 Somervale Court SW; 3000 Somervale Court SW; 4000 Somervale Court SW; 6000 Somervale Court SW,119; 219; 419,289000,291000,0.0989,0.1065
24,stack:01|sub_property_use:R201|land_use:M-C2|assessed_bucket:300000,4,0,4,0,4000 Somervale Court SW; 5000 Somervale Court SW; 5500 Somervale Court SW; 6000 Somervale Court SW,301,299500,300000,0.1388,0.1407
25,stack:03|sub_property_use:R201|land_use:M-C2|assessed_bucket:267500,4,0,4,0,1000 Somervale Court SW; 2000 Somervale Court SW; 3000 Somervale Court SW; 6000 Somervale Court SW,203; 403,267000,267500,0.0152,0.0171
26,stack:03|sub_property_use:R201|land_use:M-C2|assessed_bucket:277500,4,0,4,0,1000 Somervale Court SW; 2000 Somervale Court SW; 3000 Somervale Court SW; 6000 Somervale Court SW,303; 403,276500,276500,0.0513,0.0513
27,stack:05|sub_property_use:R201|land_use:M-C2|assessed_bucket:260000,4,0,4,0,1000 Somervale Court SW; 2000 Somervale Court SW; 4000 Somervale Court SW; 6000 Somervale Court SW,105,261000,261000,-0.0076,-0.0076
28,stack:05|sub_property_use:R201|land_use:M-C2|assessed_bucket:265000,4,0,4,0,1000 Somervale Court SW; 2000 Somervale Court SW; 4000 Somervale Court SW; 6000 Somervale Court SW,205,265500,265500,0.0095,0.0095
29,stack:05|sub_property_use:R201|land_use:M-C2|assessed_bucket:270000,4,0,4,0,1000 Somervale Court SW; 2000 Somervale Court SW; 4000 Somervale Court SW; 6000 Somervale Court SW,305,270000,270000,0.0266,0.0266
30,stack:11|sub_property_use:R201|land_use:M-C2|assessed_bucket:275000,4,0,4,0,1000 Somervale Court SW; 2000 Somervale Court SW; 6000 Somervale Court SW,111; 411,274000,275500,0.0418,0.0475
31,stack:15|sub_property_use:R201|land_use:M-C2|assessed_bucket:260000,4,0,4,0,1000 Somervale Court SW; 2000 Somervale Court SW; 4000 Somervale Court SW; 6000 Somervale Court SW,115,261000,261000,-0.0076,-0.0076
32,stack:15|sub_property_use:R201|land_use:M-C2|assessed_bucket:265000,4,0,4,0,1000 Somervale Court SW; 2000 Somervale Court SW; 4000 Somervale Court SW; 6000 Somervale Court SW,215,265500,265500,0.0095,0.0095
33,stack:15|sub_property_use:R201|land_use:M-C2|assessed_bucket:270000,4,0,4,0,1000 Somervale Court SW; 2000 Somervale Court SW; 4000 Somervale Court SW; 6000 Somervale Court SW,315,270000,270000,0.0266,0.0266
34,stack:15|sub_property_use:R201|land_use:M-C2|assessed_bucket:275000,4,0,4,0,1000 Somervale Court SW; 2000 Somervale Court SW; 4000 Somervale Court SW; 6000 Somervale Court SW,415,274000,274000,0.0418,0.0418
35,stack:16|sub_property_use:R201|land_use:M-C2|assessed_bucket:260000,4,0,4,0,1000 Somervale Court SW; 2000 Somervale Court SW; 4000 Somervale Court SW; 6000 Somervale Court SW,116,261000,261000,-0.0076,-0.0076
36,stack:16|sub_property_use:R201|land_use:M-C2|assessed_bucket:272500,4,0,4,0,1000 Somervale Court SW; 2000 Somervale Court SW; 3000 Somervale Court SW,116; 316,272000,273000,0.0342,0.0380
37,stack:17|sub_property_use:R201|land_use:M-C2|assessed_bucket:257500,4,0,4,0,3000 Somervale Court SW; 4000 Somervale Court SW; 6000 Somervale Court SW,117; 217; 317,258500,258500,-0.0171,-0.0171
38,stack:17|sub_property_use:R201|land_use:M-C2|assessed_bucket:267500,4,0,4,0,1000 Somervale Court SW; 2000 Somervale Court SW; 3000 Somervale Court SW; 4000 Somervale Court SW,217; 417,267000,267500,0.0152,0.0171
39,stack:00|sub_property_use:A004|land_use:M-C2|assessed_bucket:10000,3,0,3,0,3000 Somervale Court SW; 5000 Somervale Court SW; 6000 Somervale Court SW,100V; 200V,10000,10000,-0.9620,-0.9620
40,stack:01|sub_property_use:A004|land_use:M-C2|assessed_bucket:10000,3,0,3,0,3000 Somervale Court SW; 5000 Somervale Court SW; 6000 Somervale Court SW,101V; 201V,10000,10000,-0.9620,-0.9620
41,stack:01|sub_property_use:R201|land_use:M-C2|assessed_bucket:267500,3,0,3,0,1000 Somervale Court SW; 2000 Somervale Court SW; 3000 Somervale Court SW,101,267500,267500,0.0171,0.0171
42,stack:01|sub_property_use:R201|land_use:M-C2|assessed_bucket:282500,3,0,3,0,1000 Somervale Court SW; 2000 Somervale Court SW; 3000 Somervale Court SW,201,281500,281500,0.0703,0.0703
43,stack:01|sub_property_use:R201|land_use:M-C2|assessed_bucket:295000,3,0,3,0,4000 Somervale Court SW; 5500 Somervale Court SW; 6000 Somervale Court SW,201,295000,295000,0.1217,0.1217
44,stack:02|sub_property_use:A004|land_use:M-C2|assessed_bucket:10000,3,0,3,0,3000 Somervale Court SW; 5000 Somervale Court SW; 6000 Somervale Court SW,102V; 202V,10000,10000,-0.9620,-0.9620
45,stack:02|sub_property_use:R201|land_use:M-C2|assessed_bucket:282500,3,0,3,0,1000 Somervale Court SW; 2000 Somervale Court SW; 3000 Somervale Court SW,202,281500,281500,0.0703,0.0703
46,stack:02|sub_property_use:R201|land_use:M-C2|assessed_bucket:285000,3,0,3,0,1000 Somervale Court SW; 2000 Somervale Court SW; 3000 Somervale Court SW,302,284000,286000,0.0798,0.0875
47,stack:02|sub_property_use:R201|land_use:M-C2|assessed_bucket:290000,3,0,3,0,1000 Somervale Court SW; 2000 Somervale Court SW; 5500 Somervale Court SW,102; 402,290000,291000,0.1027,0.1065
48,stack:03|sub_property_use:A004|land_use:M-C2|assessed_bucket:10000,3,0,3,0,3000 Somervale Court SW; 5000 Somervale Court SW; 6000 Somervale Court SW,103V; 203V,10000,10000,-0.9620,-0.9620
49,stack:04|sub_property_use:A004|land_use:M-C2|assessed_bucket:10000,3,0,3,0,3000 Somervale Court SW; 5000 Somervale Court SW; 6000 Somervale Court SW,104V; 204V,10000,10000,-0.9620,-0.9620
50,stack:04|sub_property_use:R201|land_use:M-C2|assessed_bucket:265000,3,0,3,0,4000 Somervale Court SW; 5500 Somervale Court SW; 6000 Somervale Court SW,204,265500,265500,0.0095,0.0095
51,stack:04|sub_property_use:R201|land_use:M-C2|assessed_bucket:267500,3,0,3,0,1000 Somervale Court SW; 2000 Somervale Court SW; 3000 Somervale Court SW,204,267500,267500,0.0171,0.0171
52,stack:04|sub_property_use:R201|land_use:M-C2|assessed_bucket:270000,3,0,3,0,4000 Somervale Court SW; 5500 Somervale Court SW; 6000 Somervale Court SW,304,270000,270000,0.0266,0.0266
53,stack:04|sub_property_use:R201|land_use:M-C2|assessed_bucket:272500,3,0,3,0,1000 Somervale Court SW; 2000 Somervale Court SW; 3000 Somervale Court SW,304,272000,272000,0.0342,0.0342
54,stack:04|sub_property_use:R201|land_use:M-C2|assessed_bucket:275000,3,0,3,0,4000 Somervale Court SW; 5500 Somervale Court SW; 6000 Somervale Court SW,404,274000,274000,0.0418,0.0418
55,stack:04|sub_property_use:R201|land_use:M-C2|assessed_bucket:277500,3,0,3,0,1000 Somervale Court SW; 2000 Somervale Court SW; 3000 Somervale Court SW,404,276500,276500,0.0513,0.0513
56,stack:05|sub_property_use:A004|land_use:M-C2|assessed_bucket:10000,3,0,3,0,3000 Somervale Court SW; 5000 Somervale Court SW; 6000 Somervale Court SW,105V; 205V,10000,10000,-0.9620,-0.9620
57,stack:06|sub_property_use:A004|land_use:M-C2|assessed_bucket:10000,3,0,3,0,3000 Somervale Court SW; 5000 Somervale Court SW; 6000 Somervale Court SW,106V; 206V,10000,10000,-0.9620,-0.9620
58,stack:06|sub_property_use:R201|land_use:M-C2|assessed_bucket:267500,3,0,3,0,1000 Somervale Court SW; 3000 Somervale Court SW,206; 306,267500,267500,0.0171,0.0171
59,stack:06|sub_property_use:R201|land_use:M-C2|assessed_bucket:272500,3,0,3,0,1000 Somervale Court SW; 3000 Somervale Court SW,106; 406,272000,273000,0.0342,0.0380
60,stack:06|sub_property_use:R201|land_use:M-C2|assessed_bucket:300000,3,0,3,0,4000 Somervale Court SW; 5500 Somervale Court SW; 6000 Somervale Court SW,206; 306,299500,300000,0.1388,0.1407
61,stack:06|sub_property_use:R201|land_use:M-C2|assessed_bucket:305000,3,0,3,0,4000 Somervale Court SW; 5500 Somervale Court SW; 6000 Somervale Court SW,306; 406,305000,305500,0.1597,0.1616
62,stack:07|sub_property_use:A004|land_use:M-C2|assessed_bucket:10000,3,0,3,0,3000 Somervale Court SW; 5000 Somervale Court SW; 6000 Somervale Court SW,107V; 207V,10000,10000,-0.9620,-0.9620
63,stack:07|sub_property_use:R201|land_use:M-C2|assessed_bucket:260000,3,0,3,0,1000 Somervale Court SW; 2000 Somervale Court SW; 5500 Somervale Court SW,107,261000,261000,-0.0076,-0.0076
64,stack:07|sub_property_use:R201|land_use:M-C2|assessed_bucket:305000,3,0,3,0,4000 Somervale Court SW; 5500 Somervale Court SW; 6000 Somervale Court SW,307; 407,304500,305500,0.1578,0.1616
65,stack:08|sub_property_use:A004|land_use:M-C2|assessed_bucket:10000,3,0,3,0,3000 Somervale Court SW; 5000 Somervale Court SW; 6000 Somervale Court SW,108V; 208V,10000,10000,-0.9620,-0.9620
66,stack:10|sub_property_use:R201|land_use:M-C2|assessed_bucket:240000,3,0,3,0,1000 Somervale Court SW; 2000 Somervale Court SW; 3000 Somervale Court SW,210,240000,240000,-0.0875,-0.0875
67,stack:10|sub_property_use:R201|land_use:M-C2|assessed_bucket:245000,3,0,3,0,1000 Somervale Court SW; 2000 Somervale Court SW; 3000 Somervale Court SW,310,244000,244000,-0.0722,-0.0722
68,stack:11|sub_property_use:A004|land_use:M-C2|assessed_bucket:10000,3,0,3,0,3000 Somervale Court SW; 5000 Somervale Court SW; 6000 Somervale Court SW,111V; 211V,10000,10000,-0.9620,-0.9620
69,stack:11|sub_property_use:R201|land_use:M-C2|assessed_bucket:260000,3,0,3,0,1000 Somervale Court SW; 2000 Somervale Court SW; 4000 Somervale Court SW,111,261000,261000,-0.0076,-0.0076
70,stack:11|sub_property_use:R201|land_use:M-C2|assessed_bucket:265000,3,0,3,0,1000 Somervale Court SW; 2000 Somervale Court SW; 4000 Somervale Court SW,211,265500,265500,0.0095,0.0095
71,stack:11|sub_property_use:R201|land_use:M-C2|assessed_bucket:270000,3,0,3,0,1000 Somervale Court SW; 2000 Somervale Court SW; 4000 Somervale Court SW,311,270000,270000,0.0266,0.0266
72,stack:12|sub_property_use:A004|land_use:M-C2|assessed_bucket:10000,3,0,3,0,3000 Somervale Court SW; 5000 Somervale Court SW; 6000 Somervale Court SW,112V; 212V,10000,10000,-0.9620,-0.9620
73,stack:13|sub_property_use:A004|land_use:M-C2|assessed_bucket:10000,3,0,3,0,3000 Somervale Court SW; 5000 Somervale Court SW; 6000 Somervale Court SW,113V; 213V,10000,10000,-0.9620,-0.9620
74,stack:14|sub_property_use:A004|land_use:M-C2|assessed_bucket:10000,3,0,3,0,3000 Somervale Court SW; 5000 Somervale Court SW; 6000 Somervale Court SW,114V; 214V,10000,10000,-0.9620,-0.9620
75,stack:14|sub_property_use:R201|land_use:M-C2|assessed_bucket:272500,3,0,3,0,1000 Somervale Court SW; 3000 Somervale Court SW,114; 414,272000,273000,0.0342,0.0380
76,stack:15|sub_property_use:A004|land_use:M-C2|assessed_bucket:10000,3,0,3,0,3000 Somervale Court SW; 5000 Somervale Court SW; 6000 Somervale Court SW,115V; 215V,10000,10000,-0.9620,-0.9620
77,stack:16|sub_property_use:A004|land_use:M-C2|assessed_bucket:10000,3,0,3,0,3000 Somervale Court SW; 5000 Somervale Court SW; 6000 Somervale Court SW,116V; 216V,10000,10000,-0.9620,-0.9620
78,stack:16|sub_property_use:R201|land_use:M-C2|assessed_bucket:277500,3,0,3,0,1000 Somervale Court SW; 2000 Somervale Court SW; 3000 Somervale Court SW,416,276500,276500,0.0513,0.0513
79,stack:17|sub_property_use:A004|land_use:M-C2|assessed_bucket:10000,3,0,3,0,3000 Somervale Court SW; 5000 Somervale Court SW; 6000 Somervale Court SW,117V; 217V,10000,10000,-0.9620,-0.9620
80,stack:17|sub_property_use:R201|land_use:M-C2|assessed_bucket:272500,3,0,3,0,1000 Somervale Court SW; 2000 Somervale Court SW; 3000 Somervale Court SW,317,272000,272000,0.0342,0.0342
81,stack:17|sub_property_use:R201|land_use:M-C2|assessed_bucket:277500,3,0,3,0,1000 Somervale Court SW; 2000 Somervale Court SW; 3000 Somervale Court SW,417,276500,276500,0.0513,0.0513
82,stack:18|sub_property_use:A004|land_use:M-C2|assessed_bucket:10000,3,0,3,0,3000 Somervale Court SW; 5000 Somervale Court SW; 6000 Somervale Court SW,118V; 218V,10000,10000,-0.9620,-0.9620
83,stack:18|sub_property_use:R201|land_use:M-C2|assessed_bucket:282500,3,0,3,0,1000 Somervale Court SW; 2000 Somervale Court SW,118; 218,281500,282500,0.0703,0.0741
84,stack:18|sub_property_use:R201|land_use:M-C2|assessed_bucket:290000,3,0,3,0,1000 Somervale Court SW; 2000 Somervale Court SW; 3000 Somervale Court SW,418,291000,291000,0.1065,0.1065
85,stack:19|sub_property_use:R201|land_use:M-C2|assessed_bucket:285000,3,0,3,0,1000 Somervale Court SW; 2000 Somervale Court SW; 3000 Somervale Court SW,319,286000,286000,0.0875,0.0875
86,stack:40|sub_property_use:A004|land_use:M-C2|assessed_bucket:10000,3,0,3,0,3000 Somervale Court SW; 5500 Somervale Court SW; 6000 Somervale Court SW,140V; 40V,10000,10000,-0.9620,-0.9620
87,stack:41|sub_property_use:A004|land_use:M-C2|assessed_bucket:10000,3,0,3,0,3000 Somervale Court SW; 5500 Somervale Court SW; 6000 Somervale Court SW,141V; 41V,10000,10000,-0.9620,-0.9620
88,stack:76|sub_property_use:A004|land_use:M-C2|assessed_bucket:10000,3,0,2,1,3000 Somervale Court SW; 5000 Somervale Court SW; 6000 Somervale Court SW,176V; 76V,10000,10000,-0.9620,-0.9620
89,stack:77|sub_property_use:A004|land_use:M-C2|assessed_bucket:10000,3,0,2,1,3000 Somervale Court SW; 5000 Somervale Court SW; 6000 Somervale Court SW,177V; 77V,10000,10000,-0.9620,-0.9620
90,stack:78|sub_property_use:A004|land_use:M-C2|assessed_bucket:10000,3,0,2,1,3000 Somervale Court SW; 5000 Somervale Court SW; 6000 Somervale Court SW,178V; 78V,10000,10000,-0.9620,-0.9620
91,stack:79|sub_property_use:A004|land_use:M-C2|assessed_bucket:10000,3,0,2,1,3000 Somervale Court SW; 5000 Somervale Court SW; 6000 Somervale Court SW,179V; 79V,10000,10000,-0.9620,-0.9620
92,stack:80|sub_property_use:A004|land_use:M-C2|assessed_bucket:10000,3,0,2,1,3000 Somervale Court SW; 5000 Somervale Court SW; 6000 Somervale Court SW,180V; 80V,10000,10000,-0.9620,-0.9620
93,stack:81|sub_property_use:A004|land_use:M-C2|assessed_bucket:10000,3,0,2,1,3000 Somervale Court SW; 5000 Somervale Court SW; 6000 Somervale Court SW,181V; 81V,10000,10000,-0.9620,-0.9620
94,stack:82|sub_property_use:A004|land_use:M-C2|assessed_bucket:10000,3,0,2,1,3000 Somervale Court SW; 5000 Somervale Court SW; 6000 Somervale Court SW,182V; 82V,10000,10000,-0.9620,-0.9620
95,stack:83|sub_property_use:A004|land_use:M-C2|assessed_bucket:10000,3,0,2,1,3000 Somervale Court SW; 5000 Somervale Court SW; 6000 Somervale Court SW,183V; 83V,10000,10000,-0.9620,-0.9620
96,stack:84|sub_property_use:A004|land_use:M-C2|assessed_bucket:10000,3,0,2,1,3000 Somervale Court SW; 5000 Somervale Court SW; 6000 Somervale Court SW,184V; 84V,10000,10000,-0.9620,-0.9620
97,stack:85|sub_property_use:A004|land_use:M-C2|assessed_bucket:10000,3,0,2,1,3000 Somervale Court SW; 5000 Somervale Court SW; 6000 Somervale Court SW,185V; 85V,10000,10000,-0.9620,-0.9620
98,stack:86|sub_property_use:A004|land_use:M-C2|assessed_bucket:10000,3,0,2,1,3000 Somervale Court SW; 5000 Somervale Court SW; 6000 Somervale Court SW,186V; 86V,10000,10000,-0.9620,-0.9620
99,stack:87|sub_property_use:A004|land_use:M-C2|assessed_bucket:10000,3,0,2,1,3000 Somervale Court SW; 5000 Somervale Court SW; 6000 Somervale Court SW,187V; 87V,10000,10000,-0.9620,-0.9620
100,stack:88|sub_property_use:A004|land_use:M-C2|assessed_bucket:10000,3,0,2,1,3000 Somervale Court SW; 5000 Somervale Court SW; 6000 Somervale Court SW,188V; 88V,10000,10000,-0.9620,-0.9620
101,stack:89|sub_property_use:A004|land_use:M-C2|assessed_bucket:10000,3,0,2,1,3000 Somervale Court SW; 5000 Somervale Court SW; 6000 Somervale Court SW,189V; 89V,10000,10000,-0.9620,-0.9620
102,stack:90|sub_property_use:A004|land_use:M-C2|assessed_bucket:10000,3,0,2,1,3000 Somervale Court SW; 5000 Somervale Court SW; 6000 Somervale Court SW,190V; 90V,10000,10000,-0.9620,-0.9620
103,stack:91|sub_property_use:A004|land_use:M-C2|assessed_bucket:10000,3,0,2,1,3000 Somervale Court SW; 5000 Somervale Court SW; 6000 Somervale Court SW,191V; 91V,10000,10000,-0.9620,-0.9620
104,stack:92|sub_property_use:A004|land_use:M-C2|assessed_bucket:10000,3,0,2,1,3000 Somervale Court SW; 5000 Somervale Court SW; 6000 Somervale Court SW,192V; 92V,10000,10000,-0.9620,-0.9620
105,stack:93|sub_property_use:A004|land_use:M-C2|assessed_bucket:10000,3,0,2,1,3000 Somervale Court SW; 5000 Somervale Court SW; 6000 Somervale Court SW,193V; 93V,10000,10000,-0.9620,-0.9620
106,stack:94|sub_property_use:A004|land_use:M-C2|assessed_bucket:10000,3,0,2,1,3000 Somervale Court SW; 5000 Somervale Court SW; 6000 Somervale Court SW,194V; 94V,10000,10000,-0.9620,-0.9620
107,stack:95|sub_property_use:A004|land_use:M-C2|assessed_bucket:10000,3,0,2,1,3000 Somervale Court SW; 5000 Somervale Court SW; 6000 Somervale Court SW,195V; 95V,10000,10000,-0.9620,-0.9620
108,stack:96|sub_property_use:A004|land_use:M-C2|assessed_bucket:10000,3,0,2,1,3000 Somervale Court SW; 5000 Somervale Court SW; 6000 Somervale Court SW,196V; 96V,10000,10000,-0.9620,-0.9620
109,stack:97|sub_property_use:A004|land_use:M-C2|assessed_bucket:10000,3,0,2,1,3000 Somervale Court SW; 5000 Somervale Court SW; 6000 Somervale Court SW,197V; 97V,10000,10000,-0.9620,-0.9620
110,stack:98|sub_property_use:A004|land_use:M-C2|assessed_bucket:10000,3,0,2,1,3000 Somervale Court SW; 5000 Somervale Court SW; 6000 Somervale Court SW,198V; 98V,10000,10000,-0.9620,-0.9620
111,stack:99|sub_property_use:A004|land_use:M-C2|assessed_bucket:10000,3,0,2,1,3000 Somervale Court SW; 5000 Somervale Court SW; 6000 Somervale Court SW,199V; 99V,10000,10000,-0.9620,-0.9620
112,stack:01|sub_property_use:R201|land_use:M-C2|assessed_bucket:285000,2,0,2,0,2000 Somervale Court SW; 3000 Somervale Court SW,301,286000,286000,0.0875,0.0875
113,stack:01|sub_property_use:R201|land_use:M-C2|assessed_bucket:305000,2,0,2,0,4000 Somervale Court SW; 6000 Somervale Court SW,401,305500,305500,0.1616,0.1616
114,stack:01|sub_property_use:R201|land_use:M-C2|assessed_bucket:307500,2,0,2,0,1000 Somervale Court SW; 5500 Somervale Court SW,401,306500,307500,0.1654,0.1692
115,stack:02|sub_property_use:R201|land_use:M-C2|assessed_bucket:260000,2,0,2,0,4000 Somervale Court SW; 6000 Somervale Court SW,102,261000,261000,-0.0076,-0.0076
116,stack:02|sub_property_use:R201|land_use:M-C2|assessed_bucket:265000,2,0,2,0,4000 Somervale Court SW; 6000 Somervale Court SW,202,265500,265500,0.0095,0.0095
117,stack:02|sub_property_use:R201|land_use:M-C2|assessed_bucket:267500,2,0,2,0,2000 Somervale Court SW; 3000 Somervale Court SW,102,267500,267500,0.0171,0.0171
118,stack:02|sub_property_use:R201|land_use:M-C2|assessed_bucket:270000,2,0,2,0,4000 Somervale Court SW; 6000 Somervale Court SW,302,270000,270000,0.0266,0.0266
119,stack:02|sub_property_use:R201|land_use:M-C2|assessed_bucket:275000,2,0,2,0,4000 Somervale Court SW; 6000 Somervale Court SW,402,274000,274000,0.0418,0.0418
120,stack:03|sub_property_use:R201|land_use:M-C2|assessed_bucket:255000,2,0,2,0,4000 Somervale Court SW; 6000 Somervale Court SW,103,254000,254000,-0.0342,-0.0342
121,stack:03|sub_property_use:R201|land_use:M-C2|assessed_bucket:257500,2,0,2,0,4000 Somervale Court SW; 6000 Somervale Court SW,203,258500,258500,-0.0171,-0.0171
122,stack:03|sub_property_use:R201|land_use:M-C2|assessed_bucket:262500,2,0,2,0,4000 Somervale Court SW; 5500 Somervale Court SW,103; 303,263000,263000,0.0000,0.0000
123,stack:06|sub_property_use:R201|land_use:M-C2|assessed_bucket:275000,2,0,2,0,2000 Somervale Court SW,106; 406,274000,275500,0.0418,0.0475
124,stack:06|sub_property_use:R201|land_use:M-C2|assessed_bucket:290000,2,0,2,0,4000 Somervale Court SW; 6000 Somervale Court SW,106,290000,290000,0.1027,0.1027
125,stack:06|sub_property_use:R201|land_use:M-C2|assessed_bucket:295000,2,0,2,0,4000 Somervale Court SW; 5500 Somervale Court SW,106; 206,294500,295000,0.1198,0.1217
126,stack:07|sub_property_use:R201|land_use:M-C2|assessed_bucket:172500,2,0,2,0,5000 Somervale Court SW,307; 407,171500,173500,-0.3479,-0.3403
127,stack:07|sub_property_use:R201|land_use:M-C2|assessed_bucket:265000,2,0,2,0,1000 Somervale Court SW; 2000 Somervale Court SW,207,265500,265500,0.0095,0.0095
128,stack:07|sub_property_use:R201|land_use:M-C2|assessed_bucket:270000,2,0,2,0,1000 Somervale Court SW; 2000 Somervale Court SW,307,270000,270000,0.0266,0.0266
129,stack:07|sub_property_use:R201|land_use:M-C2|assessed_bucket:275000,2,0,2,0,1000 Somervale Court SW; 2000 Somervale Court SW,407,274000,274000,0.0418,0.0418
130,stack:07|sub_property_use:R201|land_use:M-C2|assessed_bucket:282500,2,0,2,0,3000 Somervale Court SW; 5500 Somervale Court SW,207; 307,281500,283500,0.0703,0.0779
131,stack:07|sub_property_use:R201|land_use:M-C2|assessed_bucket:290000,2,0,2,0,4000 Somervale Court SW; 6000 Somervale Court SW,107,290000,290000,0.1027,0.1027
132,stack:07|sub_property_use:R201|land_use:M-C2|assessed_bucket:295000,2,0,2,0,4000 Somervale Court SW; 6000 Somervale Court SW,207,295000,295000,0.1217,0.1217
133,stack:07|sub_property_use:R201|land_use:M-C2|assessed_bucket:300000,2,0,2,0,4000 Somervale Court SW; 6000 Somervale Court SW,307,300000,300000,0.1407,0.1407
134,stack:08|sub_property_use:R201|land_use:M-C2|assessed_bucket:265000,2,0,2,0,5000 Somervale Court SW; 5500 Somervale Court SW,108; 208,265500,265500,0.0095,0.0095
135,stack:08|sub_property_use:R201|land_use:M-C2|assessed_bucket:305000,2,0,2,0,4000 Somervale Court SW; 6000 Somervale Court SW,108,305500,305500,0.1616,0.1616
136,stack:08|sub_property_use:R201|land_use:M-C2|assessed_bucket:310000,2,0,2,0,4000 Somervale Court SW; 6000 Somervale Court SW,208,311000,311000,0.1825,0.1825
